database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,gen,ITS1,0,SINTAX,0.7006838130230659,0.2993161869769341,0.0,0.25655673169451493,97980,16330,114310
unite,gen,ITS1,0,Consensus,0.6835476627883241,0.31645233721167587,0.007287201469687692,0.2722858892485347,97980,16330,114310
unite,gen,ITS2,0,RDP,0.7124183006535948,0.2875816993464052,0.04656862745098039,0.25315126050420167,97920,16320,114240
unite,gen,ITS2,0,BLAST,0.6618259803921569,0.33817401960784316,0.039276960784313725,0.29547443977591037,97920,16320,114240
unite,gen,ITS2,0,SINTAX,0.7381842320261438,0.2618157679738562,0.0,0.22441351540616247,97920,16320,114240
unite,gen,ITS2,0,Consensus,0.7236723856209151,0.276327614379085,0.005024509803921569,0.23757002801120447,97920,16320,114240
unite,gen,Full,1,RDP,0.7767908682941362,0.22320913170586373,0.0838500642422211,0.20330069349677193,107406,17901,125307
unite,gen,Full,1,BLAST,0.7794443513397762,0.2205556486602238,0.005027652086475616,0.18976593486397408,107406,17901,125307
unite,gen,Full,1,SINTAX,0.7453308008863564,0.25466919911364355,0.0,0.21828788495455162,107406,17901,125307
unite,gen,Full,1,Consensus,0.7739884177792674,0.22601158222073256,0.0011731188201776438,0.193891801734939,107406,17901,125307
unite,gen,ITS1,1,RDP,0.68295099743863,0.31704900256137003,0.04122497055359246,0.2776455694174018,106974,17829,124803
unite,gen,ITS1,1,BLAST,0.6258997513414475,0.37410024865855257,0.035391777441247406,0.3257133241989375,106974,17829,124803
unite,gen,ITS1,1,SINTAX,0.7070409632247088,0.29295903677529117,0.0,0.2511077458073924,106974,17829,124803
unite,gen,ITS1,1,Consensus,0.6939817151831286,0.3060182848168714,0.0063940770654551575,0.26321482656666906,106974,17829,124803
unite,gen,ITS2,1,RDP,0.7090401827510018,0.2909598172489982,0.04117514885967869,0.2552762931933812,106812,17802,124614
unite,gen,ITS2,1,BLAST,0.6680522787701756,0.33194772122982436,0.03555780249410179,0.2896063042675783,106812,17802,124614
unite,gen,ITS2,1,SINTAX,0.7344493128112947,0.2655506871887054,0.0,0.22761487473317604,106812,17802,124614
unite,gen,ITS2,1,Consensus,0.7226528854435831,0.27734711455641686,0.006122907538478823,0.23860079926814,106812,17802,124614
unite,gen,Full,2,RDP,0.7573556342326945,0.24264436576730558,0.10456598705896716,0.2229188830946858,98292,16382,114674
unite,gen,Full,2,BLAST,0.770174581858137,0.22982541814186302,0.006714686851422293,0.19795245652894292,98292,16382,114674
unite,gen,Full,2,SINTAX,0.7231616001302242,0.27683839986977576,0.0,0.23729005703123637,98292,16382,114674
unite,gen,Full,2,Consensus,0.7537846416798926,0.24621535832010744,0.0012818947625442558,0.21122486352616984,98292,16382,114674
unite,gen,ITS1,2,RDP,0.6484883744666953,0.35151162553330473,0.0545654969685835,0.30909075002405884,97974,16329,114303
unite,gen,ITS1,2,BLAST,0.5696715455120747,0.4303284544879254,0.04562434931716578,0.37537072517781683,97974,16329,114303
unite,gen,ITS1,2,SINTAX,0.6818951966848348,0.3181048033151653,0.0,0.27266125998442736,97974,16329,114303
unite,gen,ITS1,2,Consensus,0.6596239818727417,0.34037601812725826,0.009308592075448588,0.2930806715484283,97974,16329,114303
unite,gen,ITS2,2,RDP,0.6806426492889053,0.3193573507110947,0.06399852452969385,0.282877518399466,97596,16266,113862
unite,gen,ITS2,2,BLAST,0.6176585105946965,0.3823414894053035,0.03694823558342555,0.3329995960021781,97596,16266,113862
unite,gen,ITS2,2,SINTAX,0.709783187835567,0.29021681216443296,0.0,0.24875726756951397,97596,16266,113862
