OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_198	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Russulales	Russulales	Russulales	Russulales	Russulaceae	Russulaceae	Russulaceae	Russulaceae	Russula	Russula	Russula	Russula	Russula sp 			Russula sp 
OTU_199	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiales	Eurotiales	Eurotiales	Eurotiales	Aspergillaceae	Aspergillaceae	Aspergillaceae	Aspergillaceae	Aspergillus	Aspergillus	Aspergillus	Aspergillus				
OTU_200	Fungi		Fungi	Fungi																								
OTU_201	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricales	Agaricales	Agaricales	Agaricales	Inocybaceae	Inocybaceae	Inocybaceae	Inocybaceae	Inocybe	Inocybe	Inocybe	Inocybe	Inocybe lanatodisca	Inocybe lanatodisca		Inocybe lanatodisca
OTU_202	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Tremellomycetes	Tremellomycetes	Tremellomycetes	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiales	Cystofilobasidiales	Cystofilobasidiales												
OTU_203	Fungi	Fungi	Fungi	Fungi	Ascomycota		Ascomycota	Ascomycota	Dothideomycetes		Dothideomycetes	Dothideomycetes	Pleosporales		Pleosporales	Pleosporales												
OTU_204	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	Hypocreales	Stachybotryaceae	Stachybotryaceae	Stachybotryaceae	Stachybotryaceae	Stachybotrys	Stachybotrys	Stachybotrys	Stachybotrys	Stachybotrys limonispora			Stachybotrys limonispora
OTU_205	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricales	Agaricales	Agaricales	Agaricales	Lycoperdaceae	Lycoperdaceae	Lycoperdaceae	Lycoperdaceae	Calvatia	Calvatia	Calvatia	Calvatia	Calvatia cyathiformis			Calvatia cyathiformis
OTU_206	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota																				
OTU_207	Fungi		Fungi	Fungi																								
OTU_208	Fungi		Fungi	Fungi																								
OTU_209	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiomycetes	Eurotiales	Eurotiales	Eurotiales	Eurotiales	Trichocomaceae	Trichocomaceae	Trichocomaceae	Trichocomaceae	Sagenomella	Sagenomella	Sagenomella	Sagenomella	Sagenomella striatispora	Sagenomella striatispora		Sagenomella striatispora
OTU_210	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Cantharellales	Cantharellales	Cantharellales	Cantharellales	Clavulinaceae	Clavulinaceae	Clavulinaceae	Clavulinaceae	Membranomyces		Membranomyces	Membranomyces	Membranomyces sp 			Membranomyces sp 
OTU_211	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Xylariales		Xylariales	Xylariales	Xylariaceae		Xylariaceae	Xylariaceae								
OTU_212	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales	Pleosporales	Pleosporales	Sporormiaceae	Sporormiaceae	Sporormiaceae	Sporormiaceae	Westerdykella	Westerdykella	Westerdykella	Westerdykella				
OTU_213	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Pezizomycetes	Pezizomycetes	Pezizomycetes	Pezizomycetes	Pezizales	Pezizales	Pezizales	Pezizales	Ascobolaceae	Ascobolaceae	Ascobolaceae	Ascobolaceae		Ascobolus		Ascobolus				
OTU_214	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Sebacinales	Sebacinales	Sebacinales	Sebacinales	Sebacinaceae	Sebacinaceae	Sebacinaceae	Sebacinaceae	Sebacina	Sebacina	Sebacina	Sebacina				
