database,partition_level,region,k_iteration,classifier,sensitivity,MC,OC,EPQ,N_known,N_novel,N
unite,fam,ITS1,4,Consensus,0.5860244352641294,0.4139755647358706,0.015799419882218512,0.3002109519205414,113770,45508,159278
unite,fam,ITS2,4,RDP,0.6281367144432194,0.3718632855567806,0.026262403528114663,0.27312017640573316,113375,45350,158725
unite,fam,ITS2,4,SINTAX,0.6761455347298787,0.3238544652701213,0.022425578831312017,0.23773192628760434,113375,45350,158725
unite,fam,ITS2,4,UTAX,0.5320749724366042,0.4679250275633958,0.012238147739801544,0.337728776185226,113375,45350,158725
unite,fam,ITS2,4,Consensus,0.6284630650496141,0.37153693495038587,0.017133406835722162,0.27027878406048195,113375,45350,158725
unite,gen,Full,0,RDP,0.7669497305777232,0.2330502694222768,0.09770820544301208,0.2137156888538104,58644,9774,68418
unite,gen,Full,0,SINTAX,0.73825114248687,0.2617488575131301,0.0,0.22435616358268293,58644,9774,68418
unite,gen,Full,0,UTAX,0.577893731669054,0.42210626833094606,0.0032739922242684674,0.3622730860299921,58644,9774,68418
unite,gen,Full,0,Consensus,0.7353522952049656,0.26464770479503447,0.0032739922242684674,0.22730860299921074,58644,9774,68418
unite,gen,ITS1,0,RDP,0.671830985915493,0.32816901408450705,0.04751990202082058,0.2880762837896947,97980,16330,114310
unite,gen,ITS1,0,SINTAX,0.7006838130230659,0.2993161869769341,0.0,0.25655673169451493,97980,16330,114310
unite,gen,ITS1,0,UTAX,0.5311900387834252,0.4688099612165748,0.006981016533986528,0.4028343976904908,97980,16330,114310
unite,gen,ITS1,0,Consensus,0.6711267605633803,0.3288732394366197,0.006674831598285364,0.2828448954597148,97980,16330,114310
unite,gen,ITS2,0,RDP,0.7124897875816993,0.28751021241830066,0.04650735294117647,0.2530812324929972,97920,16320,114240
unite,gen,ITS2,0,SINTAX,0.7381842320261438,0.2618157679738562,0.0,0.22441351540616247,97920,16320,114240
unite,gen,ITS2,0,UTAX,0.5726307189542483,0.4273692810457516,0.006188725490196078,0.36720063025210087,97920,16320,114240
unite,gen,ITS2,0,Consensus,0.7112540849673202,0.2887459150326797,0.006127450980392157,0.2483718487394958,97920,16320,114240
unite,gen,Full,1,RDP,0.7767908682941362,0.22320913170586373,0.08390592704318195,0.20330867389690918,107406,17901,125307
unite,gen,Full,1,SINTAX,0.7453308008863564,0.25466919911364355,0.0,0.21828788495455162,107406,17901,125307
