database,partition_level,k_iteration,conf,max_hits,classifier,sensitivity,MC,OC,EPQ
unite,fam,2,1.0,5,Consensus,0.7198,0.2802,0.04,0.21157142857142858
unite,fam,2,1.0,20,RDP,0.5452,0.4548,0.0175,0.32985714285714285
unite,fam,2,1.0,20,BLAST,0.5982,0.4018,0.0025,0.2877142857142857
unite,fam,2,1.0,20,SINTAX,0.4948,0.5052,0.0115,0.36414285714285716
unite,fam,2,1.0,20,Consensus,0.673,0.327,0.028,0.24157142857142858
unite,fam,3,0.2,5,RDP,0.7252,0.2748,0.3475,0.2955714285714286
unite,fam,3,0.2,5,BLAST,0.7396,0.2604,0.652,0.3722857142857143
unite,fam,3,0.2,5,SINTAX,0.7192,0.2808,0.1455,0.24214285714285713
unite,fam,3,0.2,5,Consensus,0.7304,0.2696,0.5145,0.3395714285714286
unite,fam,3,0.2,20,RDP,0.7252,0.2748,0.3485,0.2958571428571429
unite,fam,3,0.2,20,BLAST,0.7204,0.2796,0.5065,0.3444285714285714
unite,fam,3,0.2,20,SINTAX,0.7192,0.2808,0.1455,0.24214285714285713
unite,fam,3,0.2,20,Consensus,0.7254,0.2746,0.5855,0.36342857142857143
unite,fam,3,0.4,5,RDP,0.7172,0.2828,0.2115,0.26242857142857146
unite,fam,3,0.4,5,BLAST,0.7416,0.2584,0.4495,0.313
unite,fam,3,0.4,5,SINTAX,0.7144,0.2856,0.0695,0.22385714285714287
unite,fam,3,0.4,5,Consensus,0.7318,0.2682,0.458,0.32242857142857145
unite,fam,3,0.4,20,RDP,0.7172,0.2828,0.2115,0.26242857142857146
unite,fam,3,0.4,20,BLAST,0.725,0.275,0.171,0.24528571428571427
unite,fam,3,0.4,20,SINTAX,0.7144,0.2856,0.0695,0.22385714285714287
unite,fam,3,0.4,20,Consensus,0.7282,0.2718,0.323,0.2864285714285714
unite,fam,3,0.6,5,RDP,0.7026,0.2974,0.124,0.24785714285714286
unite,fam,3,0.6,5,BLAST,0.7412,0.2588,0.1535,0.2287142857142857
unite,fam,3,0.6,5,SINTAX,0.697,0.303,0.044,0.229
unite,fam,3,0.6,5,Consensus,0.7368,0.2632,0.2385,0.2561428571428571
