"","database","partition_level","region","k_iteration","classifier","Metric","value"
"249","unite","gen","ITS1",0,"UTAX","sensitivity",0.531190038783425
"250","unite","gen","ITS1",0,"UTAX","MC",0.468809961216575
"251","unite","gen","ITS1",0,"UTAX","OC",0.00698101653398653
"252","unite","gen","ITS1",0,"UTAX","EPQ",0.402834397690491
"253","unite","gen","ITS1",0,"CU","sensitivity",0.706062461726883
"254","unite","gen","ITS1",0,"CU","MC",0.293937538273117
"255","unite","gen","ITS1",0,"CU","OC",0.0478260869565217
"256","unite","gen","ITS1",0,"CU","EPQ",0.258778759513603
"257","unite","gen","ITS2",0,"UTAX","sensitivity",0.572630718954248
"258","unite","gen","ITS2",0,"UTAX","MC",0.427369281045752
"259","unite","gen","ITS2",0,"UTAX","OC",0.00618872549019608
"260","unite","gen","ITS2",0,"UTAX","EPQ",0.367200630252101
"261","unite","gen","ITS2",0,"CU","sensitivity",0.74249387254902
"262","unite","gen","ITS2",0,"CU","MC",0.25750612745098
"263","unite","gen","ITS2",0,"CU","OC",0.0465686274509804
"264","unite","gen","ITS2",0,"CU","EPQ",0.227372198879552
"265","unite","gen","Full",1,"UTAX","sensitivity",0.636724205351656
"266","unite","gen","Full",1,"UTAX","MC",0.363275794648344
"267","unite","gen","Full",1,"UTAX","OC",0.00240210044131613
"268","unite","gen","Full",1,"UTAX","EPQ",0.311722409761625
"269","unite","gen","Full",1,"CU","sensitivity",0.779658492076793
"270","unite","gen","Full",1,"CU","MC",0.220341507923207
"271","unite","gen","Full",1,"CU","OC",0.0839059270431819
"272","unite","gen","Full",1,"CU","EPQ",0.200850710654632
"273","unite","gen","ITS1",1,"UTAX","sensitivity",0.560977433768953
"274","unite","gen","ITS1",1,"UTAX","MC",0.439022566231047
"275","unite","gen","ITS1",1,"UTAX","OC",0.00577710471703405
"276","unite","gen","ITS1",1,"UTAX","EPQ",0.377130357443331
"277","unite","gen","ITS1",1,"CU","sensitivity",0.713631349673753
"278","unite","gen","ITS1",1,"CU","MC",0.286368650326247
"279","unite","gen","ITS1",1,"CU","OC",0.0413371473442145
"280","unite","gen","ITS1",1,"CU","EPQ",0.251364149900243
"281","unite","gen","ITS2",1,"UTAX","sensitivity",0.593837771036962
"282","unite","gen","ITS2",1,"UTAX","MC",0.406162228963038
"283","unite","gen","ITS2",1,"UTAX","OC",0.00511178519267498
"284","unite","gen","ITS2",1,"UTAX","EPQ",0.348869308424415
"285","unite","gen","ITS2",1,"CU","sensitivity",0.73906489907501
"286","unite","gen","ITS2",1,"CU","MC",0.26093510092499
"287","unite","gen","ITS2",1,"CU","OC",0.0409504550050556
"288","unite","gen","ITS2",1,"CU","EPQ",0.229508722936428
"289","unite","gen","Full",2,"UTAX","sensitivity",0.595643592560941
"290","unite","gen","Full",2,"UTAX","MC",0.404356407439059
"291","unite","gen","Full",2,"UTAX","OC",0.0046392381882554
"292","unite","gen","Full",2,"UTAX","EPQ",0.347253954688944
"293","unite","gen","Full",2,"CU","sensitivity",0.761526879094942
"294","unite","gen","Full",2,"CU","MC",0.238473120905058
"295","unite","gen","Full",2,"CU","OC",0.104749114882188
"296","unite","gen","Full",2,"CU","EPQ",0.21936969147322
"297","unite","gen","ITS1",2,"UTAX","sensitivity",0.524057402984465
"298","unite","gen","ITS1",2,"UTAX","MC",0.475942597015535
"299","unite","gen","ITS1",2,"UTAX","OC",0.00863494396472534
"300","unite","gen","ITS1",2,"UTAX","EPQ",0.409184360865419
"301","unite","gen","ITS1",2,"CU","sensitivity",0.686467838406108
"302","unite","gen","ITS1",2,"CU","MC",0.313532161593892
"303","unite","gen","ITS1",2,"CU","OC",0.0550554228672913
"304","unite","gen","ITS1",2,"CU","EPQ",0.276606913204378
"305","unite","gen","ITS2",2,"UTAX","sensitivity",0.565883847698676
"306","unite","gen","ITS2",2,"UTAX","MC",0.434116152301324
"307","unite","gen","ITS2",2,"UTAX","OC",0.00866838804869052
"308","unite","gen","ITS2",2,"UTAX","EPQ",0.373337900265233
"309","unite","gen","ITS2",2,"CU","sensitivity",0.714486249436452
"310","unite","gen","ITS2",2,"CU","MC",0.285513750563548
"311","unite","gen","ITS2",2,"CU","OC",0.0642444362473872
"312","unite","gen","ITS2",2,"CU","EPQ",0.253903848518382
"313","unite","gen","Full",3,"UTAX","sensitivity",0.597571189279732
"314","unite","gen","Full",3,"UTAX","MC",0.402428810720268
"315","unite","gen","Full",3,"UTAX","OC",0.00546482412060302
"316","unite","gen","Full",3,"UTAX","EPQ",0.345719669777459
"317","unite","gen","Full",3,"CU","sensitivity",0.774612646566164
"318","unite","gen","Full",3,"CU","MC",0.225387353433836
"319","unite","gen","Full",3,"CU","OC",0.089572864321608
"320","unite","gen","Full",3,"CU","EPQ",0.20598528356066
"321","unite","gen","ITS1",3,"UTAX","sensitivity",0.535930408472012
"322","unite","gen","ITS1",3,"UTAX","MC",0.464069591527988
"323","unite","gen","ITS1",3,"UTAX","OC",0.00901412002017146
"324","unite","gen","ITS1",3,"UTAX","EPQ",0.399061667026871
"325","unite","gen","ITS1",3,"CU","sensitivity",0.697701294335182
"326","unite","gen","ITS1",3,"CU","MC",0.302298705664818
"327","unite","gen","ITS1",3,"CU","OC",0.0491048915784165
"328","unite","gen","ITS1",3,"CU","EPQ",0.266128160795332
"329","unite","gen","ITS2",3,"UTAX","sensitivity",0.576751887946673
"330","unite","gen","ITS2",3,"UTAX","MC",0.423248112053327
"331","unite","gen","ITS2",3,"UTAX","OC",0.0082268067333249
"332","unite","gen","ITS2",3,"UTAX","EPQ",0.363959354150469
"333","unite","gen","ITS2",3,"CU","sensitivity",0.736067164493946
"334","unite","gen","ITS2",3,"CU","MC",0.263932835506054
"335","unite","gen","ITS2",3,"CU","OC",0.0434755094291862
"336","unite","gen","ITS2",3,"CU","EPQ",0.232438931780787
"337","unite","gen","Full",4,"UTAX","sensitivity",0.585004066334288
"338","unite","gen","Full",4,"UTAX","MC",0.414995933665712
"339","unite","gen","Full",4,"UTAX","OC",0.00355362257345921
"340","unite","gen","Full",4,"UTAX","EPQ",0.356218460652533
"341","unite","gen","Full",4,"CU","sensitivity",0.763374703864786
"342","unite","gen","Full",4,"CU","MC",0.236625296135214
"343","unite","gen","Full",4,"CU","OC",0.0874085074785192
"344","unite","gen","Full",4,"CU","EPQ",0.215308612041401
